Comment,Designator,Footprint,LCSC
Fiducial,FID1,Fiducial_0.5mm_Mask1.5mm,
10K,R9,R_0402_1005Metric,
INA121UAE4,U2,INA121UAE4,
D_Schottky,D2,D_0402_1005Metric,
390k,R11,R_0402_1005Metric,
390n,C12,C_0402_1005Metric,
AD8620,U1,MSOP-8_3x3mm_P0.65mm,
390n,C7,C_0402_1005Metric,
Conn_01x19_Socket,J1,PinSocket_1x19_P2.54mm_Vertical,
5k8,R25,R_0402_1005Metric,
56k,R31,R_0402_1005Metric,
10n,C14,C_0402_1005Metric,
OPA2890IDGST,IC1,SOP50P490X110-10N,
390K,R10,R_0402_1005Metric,
390n,C11,C_0402_1005Metric,
10k,R16,R_0402_1005Metric,
33k,R12,R_0402_1005Metric,
L7805,U4,TO-220F-3_Horizontal_TabDown,
AudioJack3,J3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,
56k,R15,R_0402_1005Metric,
56k,R14,R_0402_1005Metric,
100nF,C16,C_0402_1005Metric,
100n,C4,C_0402_1005Metric,
100,R8,R_0402_1005Metric,
33k,R13,R_0402_1005Metric,
Battery_Cell,BT2,PinHeader_1x02_P1.00mm_Horizontal,
5k8,R24,R_0402_1005Metric,
33k,R28,R_0402_1005Metric,
Battery_Cell,BT3,PinHeader_1x02_P1.00mm_Horizontal,
C,C5,C_0402_1005Metric,
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,
Conn_01x10_Pin,J5,PinHeader_1x10_P1.00mm_Vertical,
Fiducial,FID2,Fiducial_0.5mm_Mask1.5mm,
10k,R23,R_0402_1005Metric,
Conn_01x19_Socket,J2,PinSocket_1x19_P2.54mm_Vertical,
100,R5,R_0402_1005Metric,
100n,C2,C_0402_1005Metric,
10k,R29,R_0402_1005Metric,
100,R4,R_0402_1005Metric,
10k,R17,R_0402_1005Metric,
390n,C8,C_0402_1005Metric,
10k,R19,R_0402_1005Metric,
56k,R30,R_0402_1005Metric,
INA121UAE4,U3,INA121UAE4,
OPA2890IDGST,IC2,SOP50P490X110-10N,
Battery_Cell,BT1,PinHeader_1x02_P1.00mm_Horizontal,
Battery_Cell,BT4,PinHeader_1x02_P1.00mm_Horizontal,
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,
10k,R21,R_0402_1005Metric,
10k,R22,R_0402_1005Metric,
10k,R27,R_0402_1005Metric,
33k,R26,R_0402_1005Metric,
100n,C1,C_0402_1005Metric,
D_Schottky,D1,D_0402_1005Metric,
10k,R18,R_0402_1005Metric,
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,
C,C6,C_0402_1005Metric,
10n,C13,C_0402_1005Metric,
10uF,C15,C_0402_1005Metric,
AudioJack3,J4,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,
TestPoint,TP4,TestPoint_Pad_1.0x1.0mm,
100n,C3,C_0402_1005Metric,
Fiducial,FID3,Fiducial_0.5mm_Mask1.5mm,
390n,C9,C_0402_1005Metric,
390n,C10,C_0402_1005Metric,
10k,R20,R_0402_1005Metric,
100,R1,R_0402_1005Metric,
